name,type,start_time,duration,"data","ack","address","read"
"I2C","start",2022-04-19T19:27:51.902529958+00:00,4.16666671e-08,,,,
"I2C","address",2022-04-19T19:27:51.902540292+00:00,8.70416667e-05,,true,"h",false
"I2C","data",2022-04-19T19:27:51.902634417+00:00,8.7e-05,"W",true,,
"I2C","data",2022-04-19T19:27:51.902727667+00:00,8.7e-05,"e",true,,
"I2C","data",2022-04-19T19:27:51.902820875+00:00,8.7e-05," ",true,,
"I2C","data",2022-04-19T19:27:51.902914083+00:00,8.7e-05,"a",true,,
"I2C","data",2022-04-19T19:27:51.903007333+00:00,8.7e-05,"r",true,,
"I2C","data",2022-04-19T19:27:51.903100542+00:00,8.70416667e-05,"e",true,,
"I2C","data",2022-04-19T19:27:51.903193792+00:00,8.70416667e-05," ",true,,
"I2C","data",2022-04-19T19:27:51.903287042+00:00,8.7e-05,"t",true,,
"I2C","data",2022-04-19T19:27:51.903380250+00:00,8.7e-05,"e",true,,
"I2C","data",2022-04-19T19:27:51.903473458+00:00,8.70416667e-05,"s",true,,
"I2C","data",2022-04-19T19:27:51.903566708+00:00,8.7e-05,"t",true,,
"I2C","data",2022-04-19T19:27:51.903659917+00:00,8.7e-05,"i",true,,
"I2C","data",2022-04-19T19:27:51.903753167+00:00,8.7e-05,"n",true,,
"I2C","data",2022-04-19T19:27:51.903846375+00:00,8.70416667e-05,"g",true,,
"I2C","data",2022-04-19T19:27:51.903939625+00:00,8.7e-05," ",true,,
"I2C","data",2022-04-19T19:27:51.904032875+00:00,8.7e-05,"I",true,,
"I2C","data",2022-04-19T19:27:51.904126083+00:00,8.7e-05,"2",true,,
"I2C","data",2022-04-19T19:27:51.904219333+00:00,8.7e-05,"C",true,,
"I2C","data",2022-04-19T19:27:51.904312542+00:00,8.7e-05," ",true,,
"I2C","data",2022-04-19T19:27:51.904405792+00:00,8.69583333e-05,"m",true,,
"I2C","data",2022-04-19T19:27:51.904499000+00:00,8.69583333e-05,"a",true,,
"I2C","data",2022-04-19T19:27:51.904592208+00:00,8.7e-05,"s",true,,
"I2C","data",2022-04-19T19:27:51.904685417+00:00,8.7e-05,"t",true,,
"I2C","data",2022-04-19T19:27:51.904778625+00:00,8.7e-05,"e",true,,
"I2C","data",2022-04-19T19:27:51.904871875+00:00,8.7e-05,"r",true,,
"I2C","data",2022-04-19T19:27:51.904965083+00:00,8.7e-05," ",true,,
"I2C","data",2022-04-19T19:27:51.905058292+00:00,8.7e-05,"T",true,,
"I2C","data",2022-04-19T19:27:51.905151542+00:00,8.7e-05,"x",true,,
"I2C","data",2022-04-19T19:27:51.905244750+00:00,8.7e-05,"
",true,,
"I2C","stop",2022-04-19T19:27:51.905342333+00:00,4.16666667e-08,,,,
